FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-09-2016;C429I;0
01-10-2016;C429I;28.0
01-11-2016;C429I;0
01-12-2016;C429I;0
01-01-2016;2465;10.2
01-02-2016;2465;9.0
01-03-2016;2465;10.4
01-04-2016;2465;13.5
01-05-2016;2465;18.2
01-06-2016;2465;26.0
01-07-2016;2465;31.1
01-08-2016;2465;31.1
01-09-2016;2465;26.1
01-10-2016;2465;20.6
01-11-2016;2465;11.4
01-12-2016;2465;11.1
01-01-2016;5796;16.9
01-02-2016;5796;17.2
01-03-2016;5796;19.1
01-04-2016;5796;21.7
01-05-2016;5796;25.3
01-06-2016;5796;0
01-07-2016;5796;37.2
01-08-2016;5796;37.0
01-09-2016;5796;33.2
01-10-2016;5796;27.4
01-11-2016;5796;19.1
01-12-2016;5796;18.1
01-01-2016;5783;17.2
01-02-2016;5783;18.1
01-03-2016;5783;20.1
01-04-2016;5783;22.4
01-05-2016;5783;26.0
01-06-2016;5783;33.9
01-07-2016;5783;37.7
01-08-2016;5783;37.7
01-09-2016;5783;33.7
01-10-2016;5783;27.4
01-11-2016;5783;19.5
01-12-2016;5783;17.5
01-01-2016;2030;8.9
01-02-2016;2030;8.8
01-03-2016;2030;9.8
01-04-2016;2030;13.1
01-05-2016;2030;18.1
01-06-2016;2030;25.3
01-07-2016;2030;29.6
01-08-2016;2030;29.8
01-09-2016;2030;25.1
01-10-2016;2030;20.2
01-11-2016;2030;10.9
01-12-2016;2030;11.6
01-01-2016;0016A;17.0
01-02-2016;0016A;18.2
01-03-2016;0016A;18.6
01-04-2016;0016A;20.9
01-05-2016;0016A;24.4
01-06-2016;0016A;0
01-07-2016;0016A;0
01-08-2016;0016A;0
01-09-2016;0016A;0
01-10-2016;0016A;23.9
01-11-2016;0016A;18.4
01-12-2016;0016A;16.4
01-01-2016;9981A;17.5
01-02-2016;9981A;18.7
01-03-2016;9981A;18.9
01-04-2016;9981A;21.8
