FECHA;INDICATIVO;EVAPORACION
01-08-2017;0200E;1757
01-09-2017;0200E;1083
01-10-2017;0200E;999
01-11-2017;0200E;1553
01-12-2017;0200E;1381
01-01-2017;2331;443
01-02-2017;2331;543
01-03-2017;2331;910
01-04-2017;2331;1331
01-05-2017;2331;1294
01-06-2017;2331;1544
01-07-2017;2331;2272
01-08-2017;2331;2174
01-09-2017;2331;1354
01-10-2017;2331;1281
01-11-2017;2331;684
01-12-2017;2331;364
01-01-2017;3469A;641
01-02-2017;3469A;772
01-03-2017;3469A;1191
01-04-2017;3469A;1931
01-05-2017;3469A;2238
01-06-2017;3469A;3721
01-07-2017;3469A;4173
01-08-2017;3469A;3935
01-09-2017;3469A;2979
01-10-2017;3469A;2176
01-11-2017;3469A;944
01-12-2017;3469A;688
01-01-2017;5960;762
01-02-2017;5960;615
01-03-2017;5960;1008
01-04-2017;5960;1365
01-05-2017;5960;1627
01-06-2017;5960;2249
01-07-2017;5960;2106
01-08-2017;5960;2223
01-09-2017;5960;1689
01-10-2017;5960;1492
01-11-2017;5960;957
01-12-2017;5960;650
01-01-2017;5910;1452
01-02-2017;5910;646
01-03-2017;5910;1528
01-04-2017;5910;1693
01-05-2017;5910;2257
01-06-2017;5910;0
01-07-2017;5910;1971
01-08-2017;5910;2379
01-09-2017;5910;1989
01-10-2017;5910;1866
01-11-2017;5910;1537
01-12-2017;5910;1066
01-01-2017;1111;951
01-02-2017;1111;889
01-03-2017;1111;891
01-04-2017;1111;812
01-05-2017;1111;819
01-06-2017;1111;772
01-07-2017;1111;837
01-08-2017;1111;1015
01-09-2017;1111;949
01-10-2017;1111;0
01-11-2017;1111;0
01-12-2017;1111;0
01-01-2017;1109;1130
01-02-2017;1109;1221
01-03-2017;1109;1325
01-04-2017;1109;1543
01-05-2017;1109;1575
01-06-2017;1109;1431
01-07-2017;1109;1342
01-08-2017;1109;1646
01-09-2017;1109;1345
01-10-2017;1109;1291
01-11-2017;1109;1313
01-12-2017;1109;1271
01-01-2017;4121;412
01-02-2017;4121;362
01-03-2017;4121;568
01-04-2017;4121;1101
01-05-2017;4121;0
01-06-2017;4121;1872
01-07-2017;4121;2407
01-08-2017;4121;2023
01-09-2017;4121;1323
01-10-2017;4121;926
01-11-2017;4121;458
01-12-2017;4121;241
01-01-2017;5402;656
01-02-2017;5402;715
01-03-2017;5402;1323
01-04-2017;5402;1902
01-05-2017;5402;2428
01-06-2017;5402;4110
01-07-2017;5402;4472
01-08-2017;5402;3772
01-09-2017;5402;3051
01-10-2017;5402;1992
01-11-2017;5402;1002
01-12-2017;5402;727
01-01-2017;8096;0
01-02-2017;8096;694
01-03-2017;8096;1206
01-04-2017;8096;1614
01-05-2017;8096;1942
01-06-2017;8096;2684
01-07-2017;8096;3017
01-08-2017;8096;2581
01-09-2017;8096;1828
01-10-2017;8096;1393
01-11-2017;8096;1132
01-12-2017;8096;0
01-01-2017;1014;529
01-02-2017;1014;838
01-03-2017;1014;757
01-04-2017;1014;717
01-05-2017;1014;803
01-06-2017;1014;711
01-07-2017;1014;697
01-08-2017;1014;748
01-09-2017;1014;578
01-10-2017;1014;572
01-11-2017;1014;561
01-12-2017;1014;482
01-01-2017;1024E;708
01-02-2017;1024E;1021
01-03-2017;1024E;1063
01-04-2017;1024E;873
01-05-2017;1024E;1060
01-06-2017;1024E;769
01-07-2017;1024E;735
01-08-2017;1024E;772
01-09-2017;1024E;748
01-10-2017;1024E;930
01-11-2017;1024E;903
01-12-2017;1024E;769
01-01-2017;5530E;679
01-02-2017;5530E;740
01-03-2017;5530E;1177
01-04-2017;5530E;1771
