FECHA;INDICATIVO;TEMP_sup_30
01-04-2016;3013;0
01-05-2016;3013;0
01-06-2016;3013;9
01-07-2016;3013;23
01-08-2016;3013;27
01-09-2016;3013;9
01-10-2016;3013;0
01-11-2016;3013;0
01-12-2016;3013;0
01-01-2016;4642E;0
01-02-2016;4642E;0
01-03-2016;4642E;0
01-04-2016;4642E;0
01-05-2016;4642E;1
01-06-2016;4642E;19
01-07-2016;4642E;26
01-08-2016;4642E;30
01-09-2016;4642E;20
01-10-2016;4642E;3
01-11-2016;4642E;0
01-12-2016;4642E;0
01-01-2016;9898;0
01-02-2016;9898;0
01-03-2016;9898;0
01-04-2016;9898;0
01-05-2016;9898;1
01-06-2016;9898;14
01-07-2016;9898;28
01-08-2016;9898;26
01-09-2016;9898;9
01-10-2016;9898;0
01-11-2016;9898;0
01-12-2016;9898;0
01-01-2016;5270B;0
01-02-2016;5270B;0
01-03-2016;5270B;0
01-04-2016;5270B;0
01-05-2016;5270B;2
01-06-2016;5270B;22
01-07-2016;5270B;31
01-08-2016;5270B;31
01-09-2016;5270B;13
01-10-2016;5270B;0
01-11-2016;5270B;0
01-12-2016;5270B;0
01-01-2016;9170;0
01-02-2016;9170;0
01-03-2016;9170;0
01-04-2016;9170;0
01-05-2016;9170;1
01-06-2016;9170;10
01-07-2016;9170;19
01-08-2016;9170;22
01-09-2016;9170;10
01-10-2016;9170;0
01-11-2016;9170;0
01-12-2016;9170;0
01-01-2016;C249I;0
01-02-2016;C249I;0
01-03-2016;C249I;0
01-04-2016;C249I;0
01-05-2016;C249I;1
01-06-2016;C249I;2
01-07-2016;C249I;0
01-08-2016;C249I;11
01-09-2016;C249I;0
01-10-2016;C249I;1
01-11-2016;C249I;0
01-12-2016;C249I;0
01-01-2016;C649I;0
01-02-2016;C649I;0
01-03-2016;C649I;0
01-04-2016;C649I;0
01-05-2016;C649I;0
01-06-2016;C649I;0
01-07-2016;C649I;0
01-08-2016;C649I;0
01-09-2016;C649I;0
01-10-2016;C649I;1
01-11-2016;C649I;0
01-12-2016;C649I;0
01-01-2016;C029O;0
01-02-2016;C029O;0
01-03-2016;C029O;0
01-04-2016;C029O;0
01-05-2016;C029O;0
01-06-2016;C029O;5
01-07-2016;C029O;0
01-08-2016;C029O;19
01-09-2016;C029O;0
01-10-2016;C029O;0
01-11-2016;C029O;0
01-12-2016;C029O;0
01-01-2016;2661;0
01-02-2016;2661;0
01-03-2016;2661;0
01-04-2016;2661;0
01-05-2016;2661;0
01-06-2016;2661;2
01-07-2016;2661;15
01-08-2016;2661;13
01-09-2016;2661;6
01-10-2016;2661;0
01-11-2016;2661;0
01-12-2016;2661;0
01-01-2016;1549;0
01-02-2016;1549;0
01-03-2016;1549;0
01-04-2016;1549;0
01-05-2016;1549;0
01-06-2016;1549;8
01-07-2016;1549;23
01-08-2016;1549;24
01-09-2016;1549;9
01-10-2016;1549;0
01-11-2016;1549;0
01-12-2016;1549;0
01-01-2016;9771C;0
01-02-2016;9771C;0
01-03-2016;9771C;0
01-04-2016;9771C;0
01-05-2016;9771C;1
01-06-2016;9771C;18
01-07-2016;9771C;28
01-08-2016;9771C;28
01-09-2016;9771C;12
01-10-2016;9771C;0
01-11-2016;9771C;0
01-12-2016;9771C;0
01-01-2016;1505;0
01-02-2016;1505;0
01-03-2016;1505;0
01-04-2016;1505;0
01-05-2016;1505;0
01-06-2016;1505;1
01-07-2016;1505;6
01-08-2016;1505;7
01-09-2016;1505;7
01-10-2016;1505;0
01-11-2016;1505;0
01-12-2016;1505;0
01-01-2016;3191E;0
01-02-2016;3191E;0
01-03-2016;3191E;0
01-04-2016;3191E;0
01-05-2016;3191E;0
01-06-2016;3191E;9
01-07-2016;3191E;24
01-08-2016;3191E;25
01-09-2016;3191E;9
01-10-2016;3191E;0
01-11-2016;3191E;0
01-12-2016;3191E;0
01-01-2016;3129;0
01-02-2016;3129;0
01-03-2016;3129;0
01-04-2016;3129;0
01-05-2016;3129;0
01-06-2016;3129;0
01-07-2016;3129;30
01-08-2016;3129;30
01-09-2016;3129;12
01-10-2016;3129;0
01-11-2016;3129;0
01-12-2016;3129;0
01-01-2016;3196;0
01-02-2016;3196;0
01-03-2016;3196;0
01-04-2016;3196;0
01-05-2016;3196;0
01-06-2016;3196;18
01-07-2016;3196;31
01-08-2016;3196;31
01-09-2016;3196;12
01-10-2016;3196;0
01-11-2016;3196;0
01-12-2016;3196;0
01-01-2016;3200;0
01-02-2016;3200;0
01-03-2016;3200;0
01-04-2016;3200;0
01-05-2016;3200;0
01-06-2016;3200;18
01-07-2016;3200;31
01-08-2016;3200;31
01-09-2016;3200;12
01-10-2016;3200;0
01-11-2016;3200;0
01-12-2016;3200;0
01-01-2016;3195;0
01-02-2016;3195;0
01-03-2016;3195;0
01-04-2016;3195;0
01-05-2016;3195;0
01-06-2016;3195;18
01-07-2016;3195;31
01-08-2016;3195;30
01-09-2016;3195;12
01-10-2016;3195;0
01-11-2016;3195;0
01-12-2016;3195;0
01-01-2016;3175;0
01-02-2016;3175;0
01-03-2016;3175;0
01-04-2016;3175;0
01-05-2016;3175;0
01-06-2016;3175;19
01-07-2016;3175;30
01-08-2016;3175;30
01-09-2016;3175;12
01-10-2016;3175;0
01-11-2016;3175;0
01-12-2016;3175;0
01-01-2016;2462;0
01-02-2016;2462;0
01-03-2016;2462;0
01-04-2016;2462;0
01-05-2016;2462;0
01-06-2016;2462;0
01-07-2016;2462;0
01-08-2016;2462;0
01-09-2016;2462;1
01-10-2016;2462;0
01-11-2016;2462;0
01-12-2016;2462;0
01-01-2016;6155A;0
01-02-2016;6155A;0
01-03-2016;6155A;0
01-04-2016;6155A;0
01-05-2016;6155A;4
01-06-2016;6155A;9
01-07-2016;6155A;20
01-08-2016;6155A;11
01-09-2016;6155A;8
01-10-2016;6155A;0
01-11-2016;6155A;0
01-12-2016;6155A;0
01-01-2016;6000A;0
01-02-2016;6000A;0
01-03-2016;6000A;0
01-04-2016;6000A;0
01-05-2016;6000A;0
01-06-2016;6000A;5
01-07-2016;6000A;6
01-08-2016;6000A;9
01-09-2016;6000A;6
01-10-2016;6000A;0
01-11-2016;6000A;0
01-12-2016;6000A;0
01-01-2016;7178I;0
01-02-2016;7178I;0
01-03-2016;7178I;0
01-04-2016;7178I;0
01-05-2016;7178I;7
01-06-2016;7178I;28
01-07-2016;7178I;31
01-08-2016;7178I;31
01-09-2016;7178I;23
01-10-2016;7178I;7
01-11-2016;7178I;0
01-12-2016;7178I;0
01-01-2016;7228;0
01-02-2016;7228;0
01-03-2016;7228;0
01-04-2016;7228;0
01-05-2016;7228;6
01-06-2016;7228;24
01-07-2016;7228;31
01-08-2016;7228;30
01-09-2016;7228;21
01-10-2016;7228;6
01-11-2016;7228;0
01-12-2016;7228;0
01-01-2016;7031;0
01-02-2016;7031;0
01-03-2016;7031;0
01-04-2016;7031;0
01-05-2016;7031;0
01-06-2016;7031;5
01-07-2016;7031;3
01-08-2016;7031;5
01-09-2016;7031;3
01-10-2016;7031;0
01-11-2016;7031;0
