01 -12-2016;6155A;5.2(27)
01 -01-2016;6000A;8.8(17)
01 -02-2016;6000A;7.8(17)
01 -03-2016;6000A;8.4(12)
01 -04-2016;6000A;9.0(02)
01 -05-2016;6000A;13.8(12)
01 -06-2016;6000A;16.8(01)
01 -07-2016;6000A;21.0(17)
01 -08-2016;6000A;21.2(28)
01 -09-2016;6000A;18.0(17)
01 -10-2016;6000A;16.0(15)
01 -11-2016;6000A;9.4(18)
01 -12-2016;6000A;8.8(27)
01 -01-2016;7178I;1.7(17)
01 -02-2016;7178I;1.0(17)
01 -03-2016;7178I;4.2(09)
01 -04-2016;7178I;6.2(02)
01 -05-2016;7178I;8.6(02)
01 -06-2016;7178I;15.6(02)
01 -07-2016;7178I;18.4(17)
01 -08-2016;7178I;18.7(13)
01 -09-2016;7178I;14.5(16)
01 -10-2016;7178I;10.4(30)
01 -11-2016;7178I;4.6(24)
01 -12-2016;7178I;4.0(24)
01 -01-2016;7228;1.0(17)
01 -02-2016;7228;-0.6(17)
01 -03-2016;7228;2.0(13)
01 -04-2016;7228;5.1(02)
01 -05-2016;7228;6.0(02)
01 -06-2016;7228;14.4(01)
01 -07-2016;7228;16.9(17)
01 -08-2016;7228;16.4(13)
01 -09-2016;7228;13.5(15)
01 -10-2016;7228;8.7(30)
01 -11-2016;7228;2.5(25)
01 -12-2016;7228;2.7(25)
01 -01-2016;7031;1.2(17)
01 -02-2016;7031;1.0(17)
01 -03-2016;7031;3.2(12)
01 -04-2016;7031;7.8(02)
01 -05-2016;7031;7.5(02)
01 -06-2016;7031;15.5(01)
01 -07-2016;7031;19.4(05)
01 -08-2016;7031;18.0(09)
01 -09-2016;7031;14.0(16)
01 -10-2016;7031;10.5(30)
01 -11-2016;7031;3.6(25)
01 -12-2016;7031;4.0(26)
01 -01-2016;9262;-0.6(21)
01 -02-2016;9262;-1.8(17)
01 -03-2016;9262;0.1(17)
01 -04-2016;9262;0.8(02)
01 -05-2016;9262;4.9(01)
01 -06-2016;9262;9.0(17)
01 -07-2016;9262;11.4(15)
01 -08-2016;9262;10.8(12)
01 -09-2016;9262;10.2(21)
01 -10-2016;9262;3.7(11)
01 -11-2016;9262;0.3(25)
01 -12-2016;9262;-3.8(29)
01 -01-2016;9263D;-2.9(21)
