Fecha;INDICATIVO;DIAS_SOL
01-09-2016;3191E;9
01-10-2016;3191E;7
01-11-2016;3191E;6
01-12-2016;3191E;9
01-01-2016;3129;2
01-02-2016;3129;6
01-03-2016;3129;6
01-04-2016;3129;6
01-05-2016;3129;6
01-06-2016;3129;11
01-07-2016;3129;20
01-08-2016;3129;21
01-09-2016;3129;9
01-10-2016;3129;6
01-11-2016;3129;7
01-12-2016;3129;9
01-01-2016;3196;2
01-02-2016;3196;5
01-03-2016;3196;4
01-04-2016;3196;4
01-05-2016;3196;5
01-06-2016;3196;9
01-07-2016;3196;19
01-08-2016;3196;18
01-09-2016;3196;7
01-10-2016;3196;5
01-11-2016;3196;5
01-12-2016;3196;5
01-01-2016;3200;2
01-02-2016;3200;6
01-03-2016;3200;6
01-04-2016;3200;4
01-05-2016;3200;5
01-06-2016;3200;11
01-07-2016;3200;20
01-08-2016;3200;17
01-09-2016;3200;7
01-10-2016;3200;5
01-11-2016;3200;7
01-12-2016;3200;4
01-01-2016;3195;3
01-02-2016;3195;9
01-03-2016;3195;5
01-04-2016;3195;4
01-05-2016;3195;6
01-06-2016;3195;13
01-07-2016;3195;21
01-08-2016;3195;20
01-09-2016;3195;10
01-10-2016;3195;5
01-11-2016;3195;8
01-12-2016;3195;10
01-01-2016;3175;3
01-02-2016;3175;8
01-03-2016;3175;4
01-04-2016;3175;3
01-05-2016;3175;6
01-06-2016;3175;12
01-07-2016;3175;19
01-08-2016;3175;18
01-09-2016;3175;7
01-10-2016;3175;7
01-11-2016;3175;8
01-12-2016;3175;7
01-01-2016;2462;1
01-02-2016;2462;4
01-03-2016;2462;2
01-04-2016;2462;0
01-05-2016;2462;3
01-06-2016;2462;6
01-07-2016;2462;15
01-08-2016;2462;13
01-09-2016;2462;8
01-10-2016;2462;5
01-11-2016;2462;3
01-12-2016;2462;6
01-01-2016;6155A;2
01-02-2016;6155A;4
01-03-2016;6155A;9
01-04-2016;6155A;5
01-05-2016;6155A;9
01-06-2016;6155A;20
01-07-2016;6155A;23
01-08-2016;6155A;14
01-09-2016;6155A;17
01-10-2016;6155A;6
01-11-2016;6155A;8
01-12-2016;6155A;5
01-01-2016;6000A;2
01-02-2016;6000A;4
01-03-2016;6000A;10
01-04-2016;6000A;2
01-05-2016;6000A;8
01-06-2016;6000A;9
01-07-2016;6000A;7
01-08-2016;6000A;6
01-09-2016;6000A;9
01-10-2016;6000A;4
01-11-2016;6000A;2
01-12-2016;6000A;2
01-01-2016;7178I;0
01-02-2016;7178I;0
01-03-2016;7178I;0
01-04-2016;7178I;3
01-05-2016;7178I;7
01-06-2016;7178I;11
01-07-2016;7178I;23
01-08-2016;7178I;16
01-09-2016;7178I;7
01-10-2016;7178I;4
01-11-2016;7178I;6
01-12-2016;7178I;5
01-01-2016;7228;4
01-02-2016;7228;4
01-03-2016;7228;6
01-04-2016;7228;2
01-05-2016;7228;7
01-06-2016;7228;9
01-07-2016;7228;23
01-08-2016;7228;18
01-09-2016;7228;4
01-10-2016;7228;5
01-11-2016;7228;5
01-12-2016;7228;8
01-01-2016;9263D;0
01-02-2016;9263D;2
01-03-2016;9263D;1
01-04-2016;9263D;1
01-05-2016;9263D;3
01-06-2016;9263D;5
01-07-2016;9263D;9
01-08-2016;9263D;12
01-09-2016;9263D;5
01-10-2016;9263D;9
01-11-2016;9263D;2
01-12-2016;9263D;2
01-01-2016;1484C;3
01-02-2016;1484C;3
01-03-2016;1484C;5
01-04-2016;1484C;5
01-05-2016;1484C;4
01-06-2016;1484C;6
01-07-2016;1484C;19
01-08-2016;1484C;19
01-09-2016;1484C;7
01-10-2016;1484C;4
01-11-2016;1484C;6
01-12-2016;1484C;12
01-01-2016;1495;3
01-02-2016;1495;5
01-03-2016;1495;6
01-04-2016;1495;5
01-05-2016;1495;4
01-06-2016;1495;9
01-07-2016;1495;19
01-08-2016;1495;16
01-09-2016;1495;10
01-10-2016;1495;9
01-11-2016;1495;2
01-12-2016;1495;8
01-01-2016;2867;1
