FECHA;INDICATIVO;DIAS_NIE
01-03-2017;7178I;0
01-04-2017;7178I;0
01-05-2017;7178I;0
01-06-2017;7178I;0
01-07-2017;7178I;0
01-08-2017;7178I;0
01-09-2017;7178I;0
01-10-2017;7178I;0
01-11-2017;7178I;0
01-12-2017;7178I;0
01-01-2017;7228;1
01-02-2017;7228;0
01-03-2017;7228;0
01-04-2017;7228;0
01-05-2017;7228;0
01-06-2017;7228;0
01-07-2017;7228;0
01-08-2017;7228;0
01-09-2017;7228;0
01-10-2017;7228;0
01-11-2017;7228;0
01-12-2017;7228;0
01-01-2017;7031;1
01-02-2017;7031;0
01-03-2017;7031;0
01-04-2017;7031;0
01-05-2017;7031;0
01-06-2017;7031;0
01-07-2017;7031;0
01-08-2017;7031;0
01-09-2017;7031;0
01-10-2017;7031;0
01-11-2017;7031;0
01-12-2017;7031;0
01-01-2017;9262;1
01-02-2017;9262;0
01-03-2017;9262;0
01-04-2017;9262;0
01-05-2017;9262;0
01-06-2017;9262;0
01-07-2017;9262;0
01-08-2017;9262;0
01-09-2017;9262;0
01-10-2017;9262;0
01-11-2017;9262;0
01-12-2017;9262;1
01-01-2017;9263D;3
01-02-2017;9263D;0
01-03-2017;9263D;0
01-04-2017;9263D;0
01-05-2017;9263D;0
01-06-2017;9263D;0
01-07-2017;9263D;0
01-08-2017;9263D;0
01-09-2017;9263D;0
01-10-2017;9263D;0
01-11-2017;9263D;0
01-12-2017;9263D;2
01-01-2017;1690A;0
01-02-2017;1690A;0
01-03-2017;1690A;0
01-04-2017;1690A;0
01-05-2017;1690A;0
01-06-2017;1690A;0
01-07-2017;1690A;0
01-08-2017;1690A;0
01-09-2017;1690A;0
01-10-2017;1690A;0
01-11-2017;1690A;0
01-12-2017;1690A;0
01-01-2017;1484C;0
01-02-2017;1484C;0
01-03-2017;1484C;0
01-04-2017;1484C;0
01-05-2017;1484C;0
01-06-2017;1484C;0
01-07-2017;1484C;0
01-08-2017;1484C;0
01-09-2017;1484C;0
01-10-2017;1484C;0
01-11-2017;1484C;0
01-12-2017;1484C;0
01-01-2017;1495;0
01-02-2017;1495;0
01-03-2017;1495;0
01-04-2017;1495;0
01-05-2017;1495;0
01-06-2017;1495;0
01-07-2017;1495;0
01-08-2017;1495;0
01-09-2017;1495;0
01-10-2017;1495;0
01-11-2017;1495;0
01-12-2017;1495;0
01-01-2017;2867;0
01-02-2017;2867;0
01-03-2017;2867;2
01-04-2017;2867;0
01-05-2017;2867;0
01-06-2017;2867;0
01-07-2017;2867;0
01-08-2017;2867;0
01-09-2017;2867;0
01-10-2017;2867;0
01-11-2017;2867;0
01-12-2017;2867;0
01-01-2017;C929I;0
01-02-2017;C929I;0
01-03-2017;C929I;0
01-04-2017;C929I;0
01-05-2017;C929I;0
01-06-2017;C929I;0
01-07-2017;C929I;0
01-08-2017;C929I;0
01-09-2017;C929I;0
01-10-2017;C929I;0
01-11-2017;C929I;0
01-12-2017;C929I;0
01-01-2017;C430E;3
01-02-2017;C430E;4
01-03-2017;C430E;4
01-04-2017;C430E;0
01-05-2017;C430E;0
01-06-2017;C430E;0
01-07-2017;C430E;0
01-08-2017;C430E;0
01-09-2017;C430E;0
01-10-2017;C430E;0
01-11-2017;C430E;0
01-12-2017;C430E;3
01-01-2017;C139E;0
01-02-2017;C139E;0
01-03-2017;C139E;0
01-04-2017;C139E;0
01-05-2017;C139E;0
01-06-2017;C139E;0
01-07-2017;C139E;0
01-08-2017;C139E;0
01-09-2017;C139E;0
01-10-2017;C139E;0
01-11-2017;C139E;0
01-12-2017;C139E;0
01-01-2017;C449C;0
01-02-2017;C449C;0
01-03-2017;C449C;0
01-04-2017;C449C;0
01-05-2017;C449C;0
01-06-2017;C449C;0
01-07-2017;C449C;0
01-08-2017;C449C;0
01-09-2017;C449C;0
01-10-2017;C449C;0
01-11-2017;C449C;0
01-12-2017;C449C;0
01-01-2017;C447A;0
01-02-2017;C447A;0
01-03-2017;C447A;0
01-04-2017;C447A;0
01-05-2017;C447A;0
01-06-2017;C447A;0
01-07-2017;C447A;0
01-08-2017;C447A;0
01-09-2017;C447A;0
01-10-2017;C447A;0
01-11-2017;C447A;0
01-12-2017;C447A;0
01-01-2017;C429I;0
