FECHA;INDICATIVO;LLUVIA_sup_1mm
01-08-2019;4121;0
01-09-2019;4121;9
01-10-2019;4121;2
01-11-2019;4121;11
01-12-2019;4121;6
01-01-2019;5402;3
01-02-2019;5402;0
01-03-2019;5402;3
01-04-2019;5402;11
01-05-2019;5402;0
01-06-2019;5402;0
01-07-2019;5402;0
01-08-2019;5402;1
01-09-2019;5402;3
01-10-2019;5402;2
01-11-2019;5402;9
01-12-2019;5402;6
01-01-2019;8096;4
01-02-2019;8096;1
01-03-2019;8096;3
01-04-2019;8096;15
01-05-2019;8096;1
01-06-2019;8096;1
01-07-2019;8096;1
01-08-2019;8096;2
01-09-2019;8096;7
01-10-2019;8096;4
01-11-2019;8096;15
01-12-2019;8096;5
01-01-2019;1014;18
01-02-2019;1014;7
01-03-2019;1014;10
01-04-2019;1014;11
01-05-2019;1014;16
01-06-2019;1014;9
01-07-2019;1014;8
01-08-2019;1014;9
01-09-2019;1014;8
01-10-2019;1014;16
01-11-2019;1014;23
01-12-2019;1014;11
01-01-2019;1024E;20
01-02-2019;1024E;7
01-03-2019;1024E;9
01-04-2019;1024E;14
01-05-2019;1024E;15
01-06-2019;1024E;9
01-07-2019;1024E;10
01-08-2019;1024E;9
01-09-2019;1024E;11
01-10-2019;1024E;15
01-11-2019;1024E;24
01-12-2019;1024E;12
01-01-2019;0367;4
01-02-2019;0367;0
01-03-2019;0367;2
01-04-2019;0367;6
01-05-2019;0367;9
01-06-2019;0367;2
01-07-2019;0367;4
01-08-2019;0367;3
01-09-2019;0367;9
01-10-2019;0367;6
01-11-2019;0367;5
01-12-2019;0367;5
01-01-2019;5530E;5
01-02-2019;5530E;1
01-03-2019;5530E;4
01-04-2019;5530E;10
01-05-2019;5530E;1
01-06-2019;5530E;0
01-07-2019;5530E;0
01-08-2019;5530E;0
01-09-2019;5530E;6
01-10-2019;5530E;3
01-11-2019;5530E;8
01-12-2019;5530E;6
01-01-2019;5514;5
01-02-2019;5514;1
01-03-2019;5514;3
01-04-2019;5514;9
01-05-2019;5514;0
01-06-2019;5514;0
01-07-2019;5514;0
01-08-2019;5514;0
01-09-2019;5514;4
01-10-2019;5514;3
01-11-2019;5514;8
01-12-2019;5514;5
01-01-2019;3013;5
01-02-2019;3013;1
01-03-2019;3013;2
01-04-2019;3013;13
01-05-2019;3013;5
01-06-2019;3013;4
01-07-2019;3013;3
01-08-2019;3013;3
01-09-2019;3013;3
01-10-2019;3013;3
01-11-2019;3013;11
01-12-2019;3013;7
01-01-2019;4642E;4
01-02-2019;4642E;1
01-03-2019;4642E;1
01-04-2019;4642E;11
01-05-2019;4642E;0
01-06-2019;4642E;0
01-07-2019;4642E;0
01-08-2019;4642E;0
01-09-2019;4642E;2
01-10-2019;4642E;2
01-11-2019;4642E;5
01-12-2019;4642E;0
01-01-2019;9898;5
01-02-2019;9898;0
01-03-2019;9898;2
01-04-2019;9898;6
01-05-2019;9898;5
01-06-2019;9898;3
01-07-2019;9898;2
01-08-2019;9898;2
01-09-2019;9898;6
01-10-2019;9898;4
01-11-2019;9898;11
01-12-2019;9898;6
01-01-2019;5270B;4
01-02-2019;5270B;1
01-03-2019;5270B;3
01-04-2019;5270B;12
01-05-2019;5270B;0
01-06-2019;5270B;0
01-07-2019;5270B;1
01-08-2019;5270B;0
01-09-2019;5270B;0
01-10-2019;5270B;3
01-11-2019;5270B;9
01-12-2019;5270B;5
01-01-2019;9170;9
01-02-2019;9170;3
01-03-2019;9170;2
01-04-2019;9170;8
01-05-2019;9170;3
01-06-2019;9170;5
01-07-2019;9170;5
01-08-2019;9170;2
01-09-2019;9170;4
01-10-2019;9170;5
01-11-2019;9170;20
01-12-2019;9170;5
01-01-2019;C249I;1
01-02-2019;C249I;0
01-03-2019;C249I;2
01-04-2019;C249I;1
01-05-2019;C249I;0
01-06-2019;C249I;0
01-07-2019;C249I;0
01-08-2019;C249I;0
01-09-2019;C249I;0
01-10-2019;C249I;1
01-11-2019;C249I;0
01-12-2019;C249I;3
01-01-2019;C649I;2
01-02-2019;C649I;3
01-03-2019;C649I;4
01-04-2019;C649I;1
01-05-2019;C649I;0
01-06-2019;C649I;0
01-07-2019;C649I;0
01-08-2019;C649I;0
01-09-2019;C649I;1
01-10-2019;C649I;1
01-11-2019;C649I;1
01-12-2019;C649I;4
01-01-2019;C029O;1
01-02-2019;C029O;1
01-03-2019;C029O;1
01-04-2019;C029O;1
01-05-2019;C029O;0
01-06-2019;C029O;0
01-07-2019;C029O;0
