FECHA;INDICATIVO;DIAS_NUB
01-10-2020;6155A;19
01-11-2020;6155A;22
01-12-2020;6155A;20
01-01-2020;6000A;22
01-02-2020;6000A;18
01-03-2020;6000A;17
01-04-2020;6000A;0
01-05-2020;6000A;0
01-06-2020;6000A;18
01-07-2020;6000A;23
01-08-2020;6000A;18
01-09-2020;6000A;25
01-10-2020;6000A;19
01-11-2020;6000A;21
01-12-2020;6000A;24
01-01-2020;7178I;19
01-02-2020;7178I;13
01-03-2020;7178I;0
01-04-2020;7178I;0
01-05-2020;7178I;19
01-06-2020;7178I;18
01-07-2020;7178I;11
01-08-2020;7178I;14
01-09-2020;7178I;20
01-10-2020;7178I;19
01-11-2020;7178I;14
01-12-2020;7178I;0
01-01-2020;7228;15
01-02-2020;7228;16
01-03-2020;7228;0
01-04-2020;7228;0
01-05-2020;7228;18
01-06-2020;7228;17
01-07-2020;7228;10
01-08-2020;7228;16
01-09-2020;7228;22
01-10-2020;7228;21
01-11-2020;7228;20
01-12-2020;7228;22
01-01-2020;9263D;16
01-02-2020;9263D;18
01-03-2020;9263D;15
01-04-2020;9263D;0
01-05-2020;9263D;13
01-06-2020;9263D;19
01-07-2020;9263D;21
01-08-2020;9263D;19
01-09-2020;9263D;18
01-10-2020;9263D;18
01-11-2020;9263D;19
01-12-2020;9263D;12
01-01-2020;1484C;14
01-02-2020;1484C;10
01-03-2020;1484C;0
01-04-2020;1484C;0
01-05-2020;1484C;0
01-06-2020;1484C;0
01-07-2020;1484C;13
01-08-2020;1484C;16
01-09-2020;1484C;19
01-10-2020;1484C;16
01-11-2020;1484C;12
01-12-2020;1484C;10
01-01-2020;1495;17
01-02-2020;1495;9
01-03-2020;1495;16
01-04-2020;1495;11
01-05-2020;1495;17
01-06-2020;1495;9
01-07-2020;1495;10
01-08-2020;1495;18
01-09-2020;1495;15
01-10-2020;1495;18
01-11-2020;1495;13
01-12-2020;1495;7
01-01-2020;2867;17
01-02-2020;2867;11
01-03-2020;2867;0
01-04-2020;2867;0
01-05-2020;2867;0
01-06-2020;2867;0
01-07-2020;2867;6
01-08-2020;2867;16
01-09-2020;2867;18
01-10-2020;2867;18
01-11-2020;2867;14
01-12-2020;2867;14
01-01-2020;C929I;21
01-02-2020;C929I;22
01-03-2020;C929I;28
01-04-2020;C929I;30
01-05-2020;C929I;25
01-06-2020;C929I;28
01-07-2020;C929I;30
01-08-2020;C929I;29
01-09-2020;C929I;22
01-10-2020;C929I;24
01-11-2020;C929I;23
01-12-2020;C929I;28
01-01-2020;C139E;20
01-02-2020;C139E;20
