FECHA;INDICATIVO;DIAS_GRA
01-06-2021;C447A;0
01-07-2021;C447A;0
01-08-2021;C447A;0
01-09-2021;C447A;0
01-10-2021;C447A;0
01-11-2021;C447A;0
01-12-2021;C447A;0
01-01-2021;C429I;0
01-02-2021;C429I;0
01-03-2021;C429I;0
01-04-2021;C429I;0
01-05-2021;C429I;0
01-06-2021;C429I;0
01-07-2021;C429I;0
01-08-2021;C429I;0
01-09-2021;C429I;0
01-10-2021;C429I;0
01-11-2021;C429I;0
01-12-2021;C429I;0
01-01-2021;2465;0
01-02-2021;2465;0
01-03-2021;2465;0
01-04-2021;2465;0
01-05-2021;2465;1
01-06-2021;2465;3
01-07-2021;2465;0
01-08-2021;2465;0
01-09-2021;2465;0
01-10-2021;2465;0
01-11-2021;2465;0
01-12-2021;2465;0
01-01-2021;5796;0
01-02-2021;5796;0
01-03-2021;5796;0
01-04-2021;5796;0
01-05-2021;5796;0
01-06-2021;5796;0
01-07-2021;5796;0
01-08-2021;5796;0
01-09-2021;5796;0
01-10-2021;5796;0
01-11-2021;5796;0
01-12-2021;5796;0
01-01-2021;5783;0
01-02-2021;5783;0
01-03-2021;5783;0
01-04-2021;5783;0
01-05-2021;5783;0
01-06-2021;5783;0
01-07-2021;5783;0
01-08-2021;5783;0
01-09-2021;5783;0
01-10-2021;5783;0
01-11-2021;5783;0
01-12-2021;5783;0
01-01-2021;2030;0
01-02-2021;2030;0
01-03-2021;2030;0
01-04-2021;2030;0
01-05-2021;2030;2
01-06-2021;2030;2
01-07-2021;2030;0
01-08-2021;2030;2
01-09-2021;2030;0
01-10-2021;2030;0
01-11-2021;2030;1
01-12-2021;2030;0
01-01-2021;0016A;1
01-02-2021;0016A;0
01-03-2021;0016A;0
01-04-2021;0016A;0
01-05-2021;0016A;0
01-06-2021;0016A;0
01-07-2021;0016A;0
01-08-2021;0016A;0
01-09-2021;0016A;0
01-10-2021;0016A;0
01-11-2021;0016A;1
01-12-2021;0016A;0
01-01-2021;9981A;1
01-02-2021;9981A;0
01-03-2021;9981A;0
01-04-2021;9981A;0
01-05-2021;9981A;0
01-06-2021;9981A;1
01-07-2021;9981A;0
01-08-2021;9981A;0
01-09-2021;9981A;0
01-10-2021;9981A;0
