FECHA;INDICATIVO;DIAS_SOL
01-06-2020;2462;6
01-07-2020;2462;14
01-08-2020;2462;10
01-09-2020;2462;7
01-10-2020;2462;2
01-11-2020;2462;5
01-12-2020;2462;0
01-01-2020;6155A;5
01-02-2020;6155A;7
01-03-2020;6155A;2
01-04-2020;6155A;2
01-05-2020;6155A;9
01-06-2020;6155A;16
01-07-2020;6155A;24
01-08-2020;6155A;16
01-09-2020;6155A;7
01-10-2020;6155A;10
01-11-2020;6155A;3
01-12-2020;6155A;7
01-01-2020;6000A;4
01-02-2020;6000A;5
01-03-2020;6000A;4
01-04-2020;6000A;0
01-05-2020;6000A;0
01-06-2020;6000A;11
01-07-2020;6000A;4
01-08-2020;6000A;11
01-09-2020;6000A;1
01-10-2020;6000A;8
01-11-2020;6000A;6
01-12-2020;6000A;6
01-01-2020;7178I;7
01-02-2020;7178I;13
01-03-2020;7178I;0
01-04-2020;7178I;0
01-05-2020;7178I;8
01-06-2020;7178I;11
01-07-2020;7178I;20
01-08-2020;7178I;17
01-09-2020;7178I;8
01-10-2020;7178I;11
01-11-2020;7178I;11
01-12-2020;7178I;0
01-01-2020;7228;9
01-02-2020;7228;10
01-03-2020;7228;0
01-04-2020;7228;0
01-05-2020;7228;7
01-06-2020;7228;12
01-07-2020;7228;21
01-08-2020;7228;15
01-09-2020;7228;8
01-10-2020;7228;9
01-11-2020;7228;7
01-12-2020;7228;9
01-01-2020;9263D;2
01-02-2020;9263D;5
01-03-2020;9263D;4
01-04-2020;9263D;0
01-05-2020;9263D;7
01-06-2020;9263D;2
01-07-2020;9263D;10
01-08-2020;9263D;6
01-09-2020;9263D;6
01-10-2020;9263D;2
01-11-2020;9263D;3
01-12-2020;9263D;0
01-01-2020;1484C;6
01-02-2020;1484C;5
01-03-2020;1484C;0
01-04-2020;1484C;0
01-05-2020;1484C;0
01-06-2020;1484C;0
01-07-2020;1484C;18
01-08-2020;1484C;8
01-09-2020;1484C;8
01-10-2020;1484C;2
01-11-2020;1484C;7
01-12-2020;1484C;3
01-01-2020;1495;1
01-02-2020;1495;6
01-03-2020;1495;4
01-04-2020;1495;2
01-05-2020;1495;9
01-06-2020;1495;6
01-07-2020;1495;21
01-08-2020;1495;7
01-09-2020;1495;9
01-10-2020;1495;2
01-11-2020;1495;5
01-12-2020;1495;3
01-01-2020;2867;0
01-02-2020;2867;6
01-03-2020;2867;0
01-04-2020;2867;0
01-05-2020;2867;0
01-06-2020;2867;0
01-07-2020;2867;24
01-08-2020;2867;11
01-09-2020;2867;8
01-10-2020;2867;5
01-11-2020;2867;3
01-12-2020;2867;1
01-01-2020;C929I;9
01-02-2020;C929I;7
01-03-2020;C929I;2
01-04-2020;C929I;0
01-05-2020;C929I;5
01-06-2020;C929I;0
01-07-2020;C929I;1
01-08-2020;C929I;2
01-09-2020;C929I;6
01-10-2020;C929I;6
01-11-2020;C929I;7
01-12-2020;C929I;1
01-01-2020;C139E;8
01-02-2020;C139E;8
01-03-2020;C139E;4
01-04-2020;C139E;1
01-05-2020;C139E;6
01-06-2020;C139E;0
01-07-2020;C139E;7
01-08-2020;C139E;10
01-09-2020;C139E;3
01-10-2020;C139E;1
01-11-2020;C139E;2
01-12-2020;C139E;1
01-01-2020;C447A;6
01-02-2020;C447A;12
01-03-2020;C447A;5
01-04-2020;C447A;1
01-05-2020;C447A;9
01-06-2020;C447A;0
01-07-2020;C447A;0
01-08-2020;C447A;11
01-09-2020;C447A;7
01-10-2020;C447A;4
01-11-2020;C447A;2
01-12-2020;C447A;2
01-01-2020;C429I;11
01-02-2020;C429I;19
01-03-2020;C429I;7
01-04-2020;C429I;2
01-05-2020;C429I;12
01-06-2020;C429I;10
01-07-2020;C429I;26
01-08-2020;C429I;23
01-09-2020;C429I;12
01-10-2020;C429I;8
01-11-2020;C429I;6
01-12-2020;C429I;2
01-01-2020;5796;8
01-02-2020;5796;9
01-03-2020;5796;2
01-04-2020;5796;0
01-05-2020;5796;0
01-06-2020;5796;16
01-07-2020;5796;26
01-08-2020;5796;26
01-09-2020;5796;9
01-10-2020;5796;10
01-11-2020;5796;9
01-12-2020;5796;6
01-01-2020;5783;11
01-02-2020;5783;10
01-03-2020;5783;1
01-04-2020;5783;0
01-05-2020;5783;0
01-06-2020;5783;17
01-07-2020;5783;25
01-08-2020;5783;24
01-09-2020;5783;11
01-10-2020;5783;12
01-11-2020;5783;8
01-12-2020;5783;10
01-01-2020;0016A;8
01-02-2020;0016A;9
01-03-2020;0016A;3
01-04-2020;0016A;0
01-05-2020;0016A;0
01-06-2020;0016A;0
01-07-2020;0016A;10
01-08-2020;0016A;6
01-09-2020;0016A;4
01-10-2020;0016A;9
01-11-2020;0016A;8
01-12-2020;0016A;2
01-01-2020;9981A;7
01-02-2020;9981A;7
01-03-2020;9981A;1
01-04-2020;9981A;1
01-05-2020;9981A;6
01-06-2020;9981A;4
01-07-2020;9981A;14
01-08-2020;9981A;9
01-09-2020;9981A;8
01-10-2020;9981A;6
01-11-2020;9981A;7
01-12-2020;9981A;3
01-01-2020;9381I;0
01-02-2020;9381I;0
01-03-2020;9381I;0
01-04-2020;9381I;1
01-05-2020;9381I;0
01-06-2020;9381I;0
01-07-2020;9381I;0
01-08-2020;9381I;0
01-09-2020;9381I;0
01-10-2020;9381I;0
01-11-2020;9381I;0
01-12-2020;9381I;2
01-01-2020;8414A;11
