FECHA;INDICATIVO;INSOLACION
01-01-2016;C139E;5.6
01-02-2016;C139E;4.3
01-03-2016;C139E;4.0
01-04-2016;C139E;7.0
01-05-2016;C139E;5.8
01-06-2016;C139E;8.2
01-07-2016;C139E;0
01-08-2016;C139E;8.6
01-09-2016;C139E;7.4
01-10-2016;C139E;5.8
01-11-2016;C139E;4.9
01-12-2016;C139E;4.9
01-01-2016;C449C;8.0
01-02-2016;C449C;0
01-03-2016;C449C;7.0
01-04-2016;C449C;9.0
01-05-2016;C449C;8.7
01-06-2016;C449C;11.7
01-07-2016;C449C;11.7
01-08-2016;C449C;11.5
01-09-2016;C449C;10.4
01-10-2016;C449C;8.0
01-11-2016;C449C;6.1
01-12-2016;C449C;0
01-01-2016;C447A;8.1
01-02-2016;C447A;4.3
01-03-2016;C447A;4.6
01-04-2016;C447A;4.8
01-05-2016;C447A;4.4
01-06-2016;C447A;0
01-07-2016;C447A;7.9
01-08-2016;C447A;8.6
01-09-2016;C447A;8.6
01-10-2016;C447A;5.6
01-11-2016;C447A;3.4
01-12-2016;C447A;0
01-01-2016;C429I;8.4
01-02-2016;C429I;8.1
01-03-2016;C429I;0
01-04-2016;C429I;8.4
01-05-2016;C429I;8.5
01-06-2016;C429I;10.5
01-07-2016;C429I;0
01-08-2016;C429I;11.0
01-09-2016;C429I;10.3
01-10-2016;C429I;7.5
01-11-2016;C429I;0
01-12-2016;C429I;6.4
01-01-2016;2465;2.7
01-02-2016;2465;4.1
01-03-2016;2465;5.6
01-04-2016;2465;6.8
01-05-2016;2465;8.3
01-06-2016;2465;11.0
01-07-2016;2465;12.4
01-08-2016;2465;12.1
01-09-2016;2465;9.7
01-10-2016;2465;6.8
01-11-2016;2465;4.2
01-12-2016;2465;5.3
01-01-2016;5796;5.0
01-02-2016;5796;5.9
01-03-2016;5796;8.2
01-04-2016;5796;7.4
01-05-2016;5796;9.3
01-06-2016;5796;12.5
01-07-2016;5796;11.8
01-08-2016;5796;11.6
01-09-2016;5796;9.3
01-10-2016;5796;7.5
01-11-2016;5796;6.2
01-12-2016;5796;6.5
01-01-2016;5783;0
01-02-2016;5783;6.2
01-03-2016;5783;9.4
01-04-2016;5783;8.3
01-05-2016;5783;9.7
01-06-2016;5783;13.1
01-07-2016;5783;12.8
01-08-2016;5783;12.5
01-09-2016;5783;10.9
01-10-2016;5783;7.9
01-11-2016;5783;6.6
01-12-2016;5783;7.2
01-01-2016;2030;3.8
01-02-2016;2030;5.3
01-03-2016;2030;5.4
01-04-2016;2030;7.1
01-05-2016;2030;8.2
01-06-2016;2030;10.6
01-07-2016;2030;11.2
01-08-2016;2030;11.2
01-09-2016;2030;8.2
01-10-2016;2030;6.9
01-11-2016;2030;4.6
01-12-2016;2030;5.2
01-01-2016;0016A;4.8
01-02-2016;0016A;6.7
01-03-2016;0016A;7.4
01-04-2016;0016A;7.9
01-05-2016;0016A;8.7
01-06-2016;0016A;11.1
01-07-2016;0016A;11.5
01-08-2016;0016A;9.6
01-09-2016;0016A;7.9
01-10-2016;0016A;4.6
01-11-2016;0016A;5.9
01-12-2016;0016A;6.5
01-01-2016;9981A;4.3
01-02-2016;9981A;6.7
01-03-2016;9981A;6.8
01-04-2016;9981A;8.0
01-05-2016;9981A;8.7
01-06-2016;9981A;10.8
01-07-2016;9981A;11.9
01-08-2016;9981A;10.5
01-09-2016;9981A;8.3
01-10-2016;9981A;5.5
01-11-2016;9981A;5.0
01-12-2016;9981A;5.7
01-01-2016;9381I;0
01-02-2016;9381I;5.8
01-03-2016;9381I;5.9
01-04-2016;9381I;6.9
01-05-2016;9381I;7.7
01-06-2016;9381I;9.7
01-07-2016;9381I;11.1
01-08-2016;9381I;10.4
01-09-2016;9381I;8.2
