FECHA;INDICATIVO;VIENTO_sup_55
01-04-2018;6155A;3
01-05-2018;6155A;0
01-06-2018;6155A;0
01-07-2018;6155A;0
01-08-2018;6155A;0
01-09-2018;6155A;2
01-10-2018;6155A;2
01-11-2018;6155A;5
01-12-2018;6155A;3
01-01-2018;6000A;0
01-02-2018;6000A;2
01-03-2018;6000A;7
01-04-2018;6000A;0
01-05-2018;6000A;0
01-06-2018;6000A;0
01-07-2018;6000A;0
01-08-2018;6000A;0
01-09-2018;6000A;0
01-10-2018;6000A;0
01-11-2018;6000A;0
01-12-2018;6000A;0
01-01-2018;7178I;1
01-02-2018;7178I;0
01-03-2018;7178I;6
01-04-2018;7178I;5
01-05-2018;7178I;0
01-06-2018;7178I;0
01-07-2018;7178I;0
01-08-2018;7178I;0
01-09-2018;7178I;0
01-10-2018;7178I;0
01-11-2018;7178I;0
01-12-2018;7178I;2
01-01-2018;7228;2
01-02-2018;7228;0
01-03-2018;7228;8
01-04-2018;7228;7
01-05-2018;7228;2
01-06-2018;7228;0
01-07-2018;7228;0
01-08-2018;7228;0
01-09-2018;7228;0
01-10-2018;7228;1
01-11-2018;7228;2
01-12-2018;7228;2
01-01-2018;9263D;2
01-02-2018;9263D;0
01-03-2018;9263D;0
01-04-2018;9263D;0
01-05-2018;9263D;0
01-06-2018;9263D;3
01-07-2018;9263D;0
01-08-2018;9263D;3
01-09-2018;9263D;1
01-10-2018;9263D;0
01-11-2018;9263D;0
01-12-2018;9263D;0
01-01-2018;1690A;0
01-02-2018;1690A;0
01-03-2018;1690A;0
01-04-2018;1690A;1
01-05-2018;1690A;0
01-06-2018;1690A;0
01-07-2018;1690A;0
01-08-2018;1690A;0
01-09-2018;1690A;0
01-10-2018;1690A;0
01-11-2018;1690A;0
01-12-2018;1690A;0
01-01-2018;1484C;0
01-02-2018;1484C;1
01-03-2018;1484C;11
01-04-2018;1484C;3
01-05-2018;1484C;0
01-06-2018;1484C;0
01-07-2018;1484C;0
01-08-2018;1484C;0
01-09-2018;1484C;0
01-10-2018;1484C;1
01-11-2018;1484C;8
01-12-2018;1484C;6
01-01-2018;1495;0
01-02-2018;1495;0
01-03-2018;1495;0
01-04-2018;1495;0
01-05-2018;1495;0
01-06-2018;1495;0
01-07-2018;1495;0
01-08-2018;1495;0
01-09-2018;1495;0
01-10-2018;1495;0
01-11-2018;1495;0
01-12-2018;1495;0
01-01-2018;2867;3
01-02-2018;2867;0
01-03-2018;2867;20
01-04-2018;2867;7
01-05-2018;2867;0
01-06-2018;2867;0
01-07-2018;2867;0
01-08-2018;2867;0
01-09-2018;2867;1
01-10-2018;2867;0
01-11-2018;2867;6
01-12-2018;2867;4
01-01-2018;2870;0
01-02-2018;2870;0
01-03-2018;2870;6
01-04-2018;2870;2
01-05-2018;2870;0
01-06-2018;2870;0
01-07-2018;2870;0
01-08-2018;2870;1
01-09-2018;2870;0
01-10-2018;2870;0
01-11-2018;2870;1
01-12-2018;2870;1
01-01-2018;C929I;0
01-02-2018;C929I;0
01-03-2018;C929I;13
01-04-2018;C929I;0
01-05-2018;C929I;5
01-06-2018;C929I;0
01-07-2018;C929I;8
01-08-2018;C929I;0
01-09-2018;C929I;0
01-10-2018;C929I;3
01-11-2018;C929I;0
01-12-2018;C929I;2
01-01-2018;C430E;0
01-02-2018;C430E;0
01-03-2018;C430E;23
01-04-2018;C430E;18
01-05-2018;C430E;8
01-06-2018;C430E;8
01-07-2018;C430E;10
01-08-2018;C430E;6
01-09-2018;C430E;12
01-10-2018;C430E;13
01-11-2018;C430E;15
01-12-2018;C430E;9
01-01-2018;C139E;0
01-02-2018;C139E;0
01-03-2018;C139E;0
01-04-2018;C139E;15
01-05-2018;C139E;4
01-06-2018;C139E;0
01-07-2018;C139E;0
01-08-2018;C139E;4
01-09-2018;C139E;0
01-10-2018;C139E;2
01-11-2018;C139E;0
01-12-2018;C139E;2
01-01-2018;C449C;1
01-02-2018;C449C;6
01-03-2018;C449C;3
01-04-2018;C449C;3
01-05-2018;C449C;0
01-06-2018;C449C;0
01-07-2018;C449C;0
01-08-2018;C449C;1
01-09-2018;C449C;0
01-10-2018;C449C;0
01-11-2018;C449C;0
01-12-2018;C449C;0
01-01-2018;C447A;13
01-02-2018;C447A;13
01-03-2018;C447A;0
01-04-2018;C447A;16
01-05-2018;C447A;0
01-06-2018;C447A;7
01-07-2018;C447A;13
01-08-2018;C447A;0
01-09-2018;C447A;4
01-10-2018;C447A;1
01-11-2018;C447A;4
01-12-2018;C447A;2
01-01-2018;C429I;0
01-02-2018;C429I;12
01-03-2018;C429I;16
01-04-2018;C429I;4
01-05-2018;C429I;0
01-06-2018;C429I;0
01-07-2018;C429I;0
01-08-2018;C429I;17
01-09-2018;C429I;7
01-10-2018;C429I;4
01-11-2018;C429I;0
01-12-2018;C429I;0
01-01-2018;2465;0
01-02-2018;2465;0
01-03-2018;2465;14
01-04-2018;2465;5
01-05-2018;2465;0
01-06-2018;2465;0
01-07-2018;2465;0
01-08-2018;2465;3
01-09-2018;2465;2
01-10-2018;2465;2
01-11-2018;2465;4
01-12-2018;2465;3
01-01-2018;5796;0
01-02-2018;5796;1
01-03-2018;5796;0
01-04-2018;5796;1
01-05-2018;5796;0
01-06-2018;5796;0
01-07-2018;5796;0
01-08-2018;5796;0
01-09-2018;5796;0
01-10-2018;5796;1
01-11-2018;5796;0
01-12-2018;5796;0
01-01-2018;5783;2
01-02-2018;5783;1
01-03-2018;5783;14
01-04-2018;5783;6
01-05-2018;5783;0
01-06-2018;5783;1
01-07-2018;5783;0
01-08-2018;5783;0
01-09-2018;5783;2
01-10-2018;5783;0
01-11-2018;5783;0
01-12-2018;5783;0
01-01-2018;2030;2
01-02-2018;2030;1
01-03-2018;2030;9
01-04-2018;2030;2
01-05-2018;2030;0
01-06-2018;2030;1
01-07-2018;2030;0
01-08-2018;2030;1
01-09-2018;2030;0
01-10-2018;2030;1
01-11-2018;2030;0
01-12-2018;2030;1
01-01-2018;0016A;11
01-02-2018;0016A;0
01-03-2018;0016A;15
01-04-2018;0016A;5
01-05-2018;0016A;6
01-06-2018;0016A;2
01-07-2018;0016A;0
01-08-2018;0016A;2
01-09-2018;0016A;0
01-10-2018;0016A;6
01-11-2018;0016A;0
01-12-2018;0016A;0
01-01-2018;9981A;14
01-02-2018;9981A;11
01-03-2018;9981A;16
01-04-2018;9981A;1
01-05-2018;9981A;7
01-06-2018;9981A;3
01-07-2018;9981A;2
01-08-2018;9981A;2
01-09-2018;9981A;0
01-10-2018;9981A;4
01-11-2018;9981A;4
01-12-2018;9981A;7
01-01-2018;9381I;0
01-02-2018;9381I;0
01-03-2018;9381I;13
01-04-2018;9381I;2
01-05-2018;9381I;0
01-06-2018;9381I;0
01-07-2018;9381I;1
01-08-2018;9381I;2
01-09-2018;9381I;1
01-10-2018;9381I;0
01-11-2018;9381I;1
01-12-2018;9381I;1
01-01-2018;8368U;1
01-02-2018;8368U;0
01-03-2018;8368U;0
01-04-2018;8368U;1
01-05-2018;8368U;0
