FECHA;INDICATIVO;TEMP_sup_30
01-06-2019;C249I;0
01-07-2019;C249I;0
01-08-2019;C249I;2
01-09-2019;C249I;0
01-10-2019;C249I;1
01-11-2019;C249I;0
01-12-2019;C249I;0
01-01-2019;C649I;0
01-02-2019;C649I;0
01-03-2019;C649I;0
01-04-2019;C649I;0
01-05-2019;C649I;0
01-06-2019;C649I;1
01-07-2019;C649I;0
01-08-2019;C649I;5
01-09-2019;C649I;0
01-10-2019;C649I;1
01-11-2019;C649I;0
01-12-2019;C649I;0
01-01-2019;C029O;0
01-02-2019;C029O;0
01-03-2019;C029O;0
01-04-2019;C029O;0
01-05-2019;C029O;0
01-06-2019;C029O;2
01-07-2019;C029O;0
01-08-2019;C029O;16
01-09-2019;C029O;8
01-10-2019;C029O;4
01-11-2019;C029O;1
01-12-2019;C029O;0
01-01-2019;2661;0
01-02-2019;2661;0
01-03-2019;2661;0
01-04-2019;2661;0
01-05-2019;2661;0
01-06-2019;2661;5
01-07-2019;2661;13
01-08-2019;2661;10
01-09-2019;2661;0
01-10-2019;2661;0
01-11-2019;2661;0
01-12-2019;2661;0
01-01-2019;1549;0
01-02-2019;1549;0
01-03-2019;1549;0
01-04-2019;1549;0
01-05-2019;1549;5
01-06-2019;1549;7
01-07-2019;1549;20
01-08-2019;1549;18
01-09-2019;1549;6
01-10-2019;1549;0
01-11-2019;1549;0
01-12-2019;1549;0
01-01-2019;9771C;0
01-02-2019;9771C;0
01-03-2019;9771C;0
01-04-2019;9771C;0
01-05-2019;9771C;2
01-06-2019;9771C;19
01-07-2019;9771C;29
01-08-2019;9771C;27
01-09-2019;9771C;14
01-10-2019;9771C;0
01-11-2019;9771C;0
01-12-2019;9771C;0
01-01-2019;1505;0
01-02-2019;1505;0
01-03-2019;1505;0
01-04-2019;1505;0
01-05-2019;1505;2
01-06-2019;1505;1
01-07-2019;1505;4
01-08-2019;1505;3
01-09-2019;1505;0
01-10-2019;1505;0
01-11-2019;1505;0
01-12-2019;1505;0
01-01-2019;3191E;0
01-02-2019;3191E;0
01-03-2019;3191E;0
01-04-2019;3191E;0
01-05-2019;3191E;1
01-06-2019;3191E;7
01-07-2019;3191E;24
01-08-2019;3191E;18
01-09-2019;3191E;2
01-10-2019;3191E;0
01-11-2019;3191E;0
01-12-2019;3191E;0
01-01-2019;3129;0
01-02-2019;3129;0
01-03-2019;3129;0
01-04-2019;3129;0
01-05-2019;3129;7
01-06-2019;3129;16
01-07-2019;3129;29
01-08-2019;3129;28
01-09-2019;3129;9
01-10-2019;3129;1
01-11-2019;3129;0
01-12-2019;3129;0
01-01-2019;3196;0
01-02-2019;3196;0
01-03-2019;3196;0
01-04-2019;3196;0
01-05-2019;3196;5
01-06-2019;3196;14
01-07-2019;3196;29
01-08-2019;3196;26
01-09-2019;3196;5
01-10-2019;3196;0
01-11-2019;3196;0
01-12-2019;3196;0
01-01-2019;3200;0
01-02-2019;3200;0
01-03-2019;3200;0
01-04-2019;3200;0
01-05-2019;3200;6
01-06-2019;3200;16
01-07-2019;3200;29
01-08-2019;3200;27
01-09-2019;3200;8
01-10-2019;3200;1
01-11-2019;3200;0
01-12-2019;3200;0
01-01-2019;3195;0
01-02-2019;3195;0
01-03-2019;3195;0
01-04-2019;3195;0
01-05-2019;3195;5
01-06-2019;3195;14
01-07-2019;3195;30
01-08-2019;3195;25
01-09-2019;3195;4
01-10-2019;3195;0
01-11-2019;3195;0
01-12-2019;3195;0
01-01-2019;3175;0
01-02-2019;3175;0
01-03-2019;3175;0
01-04-2019;3175;0
01-05-2019;3175;6
