FECHA;INDICATIVO;EVAPORACION
01-02-2018;9771C;0
01-03-2018;9771C;1951
01-04-2018;9771C;1741
01-05-2018;9771C;1643
01-06-2018;9771C;2255
01-07-2018;9771C;2040
01-08-2018;9771C;1666
01-09-2018;9771C;1335
01-10-2018;9771C;755
01-11-2018;9771C;337
01-12-2018;9771C;181
01-01-2018;1505;505
01-02-2018;1505;332
01-03-2018;1505;638
01-04-2018;1505;1040
01-05-2018;1505;640
01-06-2018;1505;397
01-07-2018;1505;576
01-08-2018;1505;716
01-09-2018;1505;1327
01-10-2018;1505;586
01-11-2018;1505;353
01-12-2018;1505;335
01-01-2018;3191E;789
01-02-2018;3191E;698
01-03-2018;3191E;994
01-04-2018;3191E;1384
01-05-2018;3191E;1622
01-06-2018;3191E;2139
01-07-2018;3191E;2815
01-08-2018;3191E;3136
01-09-2018;3191E;2056
01-10-2018;3191E;1287
01-11-2018;3191E;409
01-12-2018;3191E;665
01-01-2018;3195;350
01-02-2018;3195;500
01-03-2018;3195;529
01-04-2018;3195;752
01-05-2018;3195;978
01-06-2018;3195;1382
01-07-2018;3195;2032
01-08-2018;3195;2121
01-09-2018;3195;1338
01-10-2018;3195;738
01-11-2018;3195;273
01-12-2018;3195;278
01-01-2018;3196;885
01-02-2018;3196;1128
01-03-2018;3196;1579
01-04-2018;3196;1719
01-05-2018;3196;2029
01-06-2018;3196;3018
01-07-2018;3196;5109
01-08-2018;3196;4468
01-09-2018;3196;2713
01-10-2018;3196;1729
01-11-2018;3196;751
01-12-2018;3196;637
01-01-2018;3200;609
01-02-2018;3200;801
01-03-2018;3200;1172
01-04-2018;3200;1443
01-05-2018;3200;1629
01-06-2018;3200;2372
01-07-2018;3200;3848
01-08-2018;3200;3563
01-09-2018;3200;2191
01-10-2018;3200;1317
01-11-2018;3200;561
01-12-2018;3200;366
01-01-2018;3175;725
01-02-2018;3175;1228
01-03-2018;3175;1731
01-04-2018;3175;1741
01-05-2018;3175;2116
01-06-2018;3175;3046
01-07-2018;3175;4834
01-08-2018;3175;4887
01-09-2018;3175;2983
01-10-2018;3175;2186
01-11-2018;3175;910
01-12-2018;3175;607
01-01-2018;2462;0
01-02-2018;2462;29
01-03-2018;2462;0
01-04-2018;2462;0
01-05-2018;2462;0
01-06-2018;2462;0
01-07-2018;2462;1903
01-08-2018;2462;2217
01-09-2018;2462;1214
01-10-2018;2462;583
01-11-2018;2462;0
01-12-2018;2462;0
01-01-2018;6000A;0
01-02-2018;6000A;585
01-03-2018;6000A;875
01-04-2018;6000A;745
01-05-2018;6000A;1025
01-06-2018;6000A;1017
01-07-2018;6000A;0
01-08-2018;6000A;1053
01-09-2018;6000A;649
01-10-2018;6000A;960
01-11-2018;6000A;566
01-12-2018;6000A;0
01-01-2018;7178I;750
01-02-2018;7178I;873
01-03-2018;7178I;1701
01-04-2018;7178I;1653
01-05-2018;7178I;1810
01-06-2018;7178I;2072
01-07-2018;7178I;2527
01-08-2018;7178I;2077
01-09-2018;7178I;1311
01-10-2018;7178I;1277
01-11-2018;7178I;758
01-12-2018;7178I;705
01-01-2018;7228;1004
01-02-2018;7228;1062
01-03-2018;7228;2096
01-04-2018;7228;1997
01-05-2018;7228;2117
01-06-2018;7228;2444
01-07-2018;7228;3075
01-08-2018;7228;2390
01-09-2018;7228;1437
01-10-2018;7228;1106
01-11-2018;7228;881
01-12-2018;7228;721
01-01-2018;7031;1415
01-02-2018;7031;1227
01-03-2018;7031;2463
01-04-2018;7031;2066
01-05-2018;7031;1764
01-06-2018;7031;1875
01-07-2018;7031;2006
01-08-2018;7031;1447
01-09-2018;7031;1315
01-10-2018;7031;1438
01-11-2018;7031;1056
01-12-2018;7031;873
01-01-2018;1690A;370
01-02-2018;1690A;438
01-03-2018;1690A;482
01-04-2018;1690A;837
01-05-2018;1690A;1102
01-06-2018;1690A;871
01-07-2018;1690A;0
01-08-2018;1690A;1595
01-09-2018;1690A;1297
01-10-2018;1690A;792
01-11-2018;1690A;327
01-12-2018;1690A;260
01-01-2018;1484C;227
01-02-2018;1484C;400
01-03-2018;1484C;446
01-04-2018;1484C;561
01-05-2018;1484C;692
01-06-2018;1484C;519
01-07-2018;1484C;590
01-08-2018;1484C;1025
01-09-2018;1484C;733
01-10-2018;1484C;820
01-11-2018;1484C;309
01-12-2018;1484C;280
01-01-2018;2867;376
01-02-2018;2867;385
01-03-2018;2867;1123
01-04-2018;2867;1150
01-05-2018;2867;1466
01-06-2018;2867;1740
