FECHA;INDICATIVO;LLUVIA_MES
01-05-2018;C929I;0.2
01-06-2018;C929I;2.3
01-07-2018;C929I;0.0
01-08-2018;C929I;1.4
01-09-2018;C929I;0.0
01-10-2018;C929I;33.4
01-11-2018;C929I;39.0
01-12-2018;C929I;0.2
01-01-2018;C430E;117.7
01-02-2018;C430E;79.5
01-03-2018;C430E;0.6
01-04-2018;C430E;38.9
01-05-2018;C430E;0.2
01-06-2018;C430E;0.2
01-07-2018;C430E;0.0
01-08-2018;C430E;9.4
01-09-2018;C430E;3.8
01-10-2018;C430E;65.0
01-11-2018;C430E;44.2
01-12-2018;C430E;0.0
01-01-2018;C139E;24.2
01-02-2018;C139E;95.5
01-03-2018;C139E;28.6
01-04-2018;C139E;2.1
01-05-2018;C139E;2.2
01-06-2018;C139E;0.2
01-07-2018;C139E;0.0
01-08-2018;C139E;0.5
01-09-2018;C139E;0.5
01-10-2018;C139E;123.1
01-11-2018;C139E;45.3
01-12-2018;C139E;1.6
01-01-2018;C449C;47.4
01-02-2018;C449C;75.0
01-03-2018;C449C;0.0
01-04-2018;C449C;20.8
01-05-2018;C449C;0.4
01-06-2018;C449C;1.2
01-07-2018;C449C;0.0
01-08-2018;C449C;1.2
01-09-2018;C449C;0.0
01-10-2018;C449C;87.0
01-11-2018;C449C;31.6
01-12-2018;C449C;0.0
01-01-2018;C447A;82.1
01-02-2018;C447A;95.1
01-03-2018;C447A;21.0
01-04-2018;C447A;70.9
01-05-2018;C447A;25.2
01-06-2018;C447A;8.9
01-07-2018;C447A;0.2
01-08-2018;C447A;3.0
01-09-2018;C447A;0.7
01-10-2018;C447A;104.1
01-11-2018;C447A;183.4
01-12-2018;C447A;1.4
01-01-2018;C429I;0.8
01-02-2018;C429I;79.2
01-03-2018;C429I;1.1
01-04-2018;C429I;0.0
01-05-2018;C429I;0.9
01-06-2018;C429I;0.0
01-07-2018;C429I;0.0
01-08-2018;C429I;0.0
01-09-2018;C429I;0.0
01-10-2018;C429I;37.9
01-11-2018;C429I;9.9
01-12-2018;C429I;0.1
01-01-2018;2465;89.8
01-02-2018;2465;65.2
01-03-2018;2465;86.8
01-04-2018;2465;104.4
01-05-2018;2465;61.5
01-06-2018;2465;50.0
01-07-2018;2465;14.8
01-08-2018;2465;2.2
01-09-2018;2465;11.2
01-10-2018;2465;51.4
01-11-2018;2465;78.6
01-12-2018;2465;17.2
01-01-2018;5796;51.5
01-02-2018;5796;28.2
01-03-2018;5796;224.5
01-04-2018;5796;84.9
01-05-2018;5796;18.4
01-06-2018;5796;0.7
01-07-2018;5796;0.0
01-08-2018;5796;0.0
01-09-2018;5796;12.4
01-10-2018;5796;143.7
01-11-2018;5796;90.8
01-12-2018;5796;14.4
01-01-2018;5783;71.2
01-02-2018;5783;23.7
01-03-2018;5783;139.1
01-04-2018;5783;78.9
01-05-2018;5783;16.5
01-06-2018;5783;1.8
01-07-2018;5783;0.0
01-08-2018;5783;0.0
01-09-2018;5783;24.3
01-10-2018;5783;99.4
01-11-2018;5783;129.5
01-12-2018;5783;10.3
01-01-2018;2030;46.0
01-02-2018;2030;61.0
01-03-2018;2030;109.0
01-04-2018;2030;72.6
01-05-2018;2030;106.2
01-06-2018;2030;158.0
01-07-2018;2030;26.0
01-08-2018;2030;1.2
01-09-2018;2030;22.6
01-10-2018;2030;39.0
01-11-2018;2030;65.0
01-12-2018;2030;21.8
01-01-2018;0016A;11.8
01-02-2018;0016A;63.5
01-03-2018;0016A;20.2
01-04-2018;0016A;46.2
01-05-2018;0016A;12.9
01-06-2018;0016A;3.8
01-07-2018;0016A;4.5
