FECHA;INDICATIVO;TEMP_MAX
01-06-2018;4121;39.1(24)
01-07-2018;4121;36.8(23)
01-08-2018;4121;40.5(03)
01-09-2018;4121;36.6(02)
01-10-2018;4121;29.9(05)
01-11-2018;4121;18.9(16)
01-12-2018;4121;18.3(05)
01-01-2018;5402;21.6(23)
01-02-2018;5402;22.9(16)
01-03-2018;5402;25.4(28)
01-04-2018;5402;29.8(24)
01-05-2018;5402;31.1(16)
01-06-2018;5402;40.0(18)
01-07-2018;5402;40.5(31)
01-08-2018;5402;45.1(04)
01-09-2018;5402;41.0(02)
01-10-2018;5402;34.0(01)
01-11-2018;5402;22.7(16)
01-12-2018;5402;23.8(06)
01-01-2018;8096;18.9(23)
01-02-2018;8096;18.1(16)
01-03-2018;8096;21.2(28)
01-04-2018;8096;26.0(25)
01-05-2018;8096;26.0(23)
01-06-2018;8096;35.8(25)
01-07-2018;8096;35.4(31)
01-08-2018;8096;38.6(03)
01-09-2018;8096;34.2(02)
01-10-2018;8096;28.1(03)
01-11-2018;8096;19.1(13)
01-12-2018;8096;21.5(04)
01-01-2018;1014;21.0(04)
01-02-2018;1014;19.9(15)
01-03-2018;1014;20.5(10)
01-04-2018;1014;30.0(18)
01-05-2018;1014;27.6(11)
01-06-2018;1014;31.4(30)
01-07-2018;1014;29.4(23)
01-08-2018;1014;32.3(03)
01-09-2018;1014;34.5(17)
01-10-2018;1014;29.7(13)
01-11-2018;1014;23.6(15)
01-12-2018;1014;19.0(21)
01-01-2018;1024E;18.4(04)
01-02-2018;1024E;18.8(15)
01-03-2018;1024E;18.5(10)
01-04-2018;1024E;28.0(18)
01-05-2018;1024E;25.0(11)
01-06-2018;1024E;29.5(30)
01-07-2018;1024E;25.5(23)
01-08-2018;1024E;32.0(06)
01-09-2018;1024E;31.6(17)
01-10-2018;1024E;27.1(05)
01-11-2018;1024E;20.8(15)
01-12-2018;1024E;18.0(22)
01-01-2018;0367;0
01-02-2018;0367;19.9(15)
01-03-2018;0367;23.0(10)
01-04-2018;0367;0
01-05-2018;0367;26.8(29)
01-06-2018;0367;0
01-07-2018;0367;36.1(31)
01-08-2018;0367;38.7(04)
01-09-2018;0367;0
01-10-2018;0367;28.5(03)
01-11-2018;0367;0
01-12-2018;0367;20.7(31)
01-01-2018;5530E;21.1(23)
01-02-2018;5530E;21.1(16)
01-03-2018;5530E;24.4(28)
01-04-2018;5530E;29.5(22)
01-05-2018;5530E;29.3(24)
01-06-2018;5530E;40.7(24)
01-07-2018;5530E;38.7(09)
01-08-2018;5530E;41.3(04)
01-09-2018;5530E;38.5(02)
01-10-2018;5530E;31.4(13)
01-11-2018;5530E;20.1(08)
01-12-2018;5530E;22.7(04)
01-01-2018;5514;21.6(23)
01-02-2018;5514;20.2(16)
01-03-2018;5514;22.6(28)
01-04-2018;5514;0
01-05-2018;5514;26.6(26)
01-06-2018;5514;39.0(24)
01-07-2018;5514;37.0(31)
01-08-2018;5514;39.8(03)
01-09-2018;5514;36.5(02)
01-10-2018;5514;29.8(13)
01-11-2018;5514;21.0(11)
01-12-2018;5514;23.6(04)
01-01-2018;3013;17.4(24)
01-02-2018;3013;15.4(15)
01-03-2018;3013;19.2(28)
01-04-2018;3013;25.6(26)
01-05-2018;3013;25.4(24)
01-06-2018;3013;33.3(26)
01-07-2018;3013;33.0(31)
01-08-2018;3013;35.8(06)
01-09-2018;3013;31.1(02)
01-10-2018;3013;25.7(03)
01-11-2018;3013;18.0(12)
01-12-2018;3013;18.8(04)
01-01-2018;4642E;21.1(03)
01-02-2018;4642E;23.4(20)
01-03-2018;4642E;26.4(28)
01-04-2018;4642E;27.5(23)
01-05-2018;4642E;28.8(15)
01-06-2018;4642E;35.0(17)
01-07-2018;4642E;36.6(31)
01-08-2018;4642E;41.3(02)
01-09-2018;4642E;38.2(24)
01-10-2018;4642E;32.9(04)
01-11-2018;4642E;22.8(14)
01-12-2018;4642E;23.7(05)
01-01-2018;9898;17.4(03)
01-02-2018;9898;17.6(15)
01-03-2018;9898;20.4(28)
01-04-2018;9898;25.4(25)
01-05-2018;9898;25.5(27)
01-06-2018;9898;33.1(21)
01-07-2018;9898;35.6(26)
01-08-2018;9898;36.7(03)
01-09-2018;9898;32.7(23)
01-10-2018;9898;26.5(03)
01-11-2018;9898;18.3(12)
01-12-2018;9898;15.5(06)
01-01-2018;5270B;17.8(24)
01-02-2018;5270B;18.1(16)
01-03-2018;5270B;21.8(28)
01-04-2018;5270B;27.6(24)
01-05-2018;5270B;0
01-06-2018;5270B;37.8(24)
01-07-2018;5270B;36.5(31)
01-08-2018;5270B;40.6(02)
01-09-2018;5270B;36.7(02)
01-10-2018;5270B;0
01-11-2018;5270B;19.1(15)
01-12-2018;5270B;21.0(05)
01-01-2018;9170;18.3(03)
01-02-2018;9170;18.6(16)
01-03-2018;9170;22.4(28)
01-04-2018;9170;24.8(24)
01-05-2018;9170;27.3(27)
01-06-2018;9170;34.2(25)
01-07-2018;9170;35.1(26)
01-08-2018;9170;37.8(28)
01-09-2018;9170;34.1(02)
01-10-2018;9170;27.8(03)
01-11-2018;9170;18.6(11)
01-12-2018;9170;18.2(04)
01-01-2018;C249I;0
01-02-2018;C249I;0
01-03-2018;C249I;27.0(09)
01-04-2018;C249I;0
01-05-2018;C249I;25.4(23)
01-06-2018;C249I;28.5(28)
01-07-2018;C249I;29.1(21)
01-08-2018;C249I;31.9(25)
01-09-2018;C249I;29.1(16)
01-10-2018;C249I;30.4(08)
01-11-2018;C249I;25.4(01)
01-12-2018;C249I;23.8(06)
01-01-2018;C649I;24.2(02)
01-02-2018;C649I;22.9(16)
01-03-2018;C649I;0
01-04-2018;C649I;0
01-05-2018;C649I;24.0(18)
01-06-2018;C649I;27.4(28)
01-07-2018;C649I;0
01-08-2018;C649I;33.1(05)
01-09-2018;C649I;0
01-10-2018;C649I;29.1(09)
01-11-2018;C649I;25.9(17)
01-12-2018;C649I;0
01-01-2018;C029O;26.4(02)
01-02-2018;C029O;23.8(16)
01-03-2018;C029O;28.3(28)
01-04-2018;C029O;29.0(17)
01-05-2018;C029O;25.3(30)
01-06-2018;C029O;0
01-07-2018;C029O;33.5(10)
01-08-2018;C029O;35.2(06)
01-09-2018;C029O;32.8(23)
01-10-2018;C029O;0
