FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-05-2021;5514;26.4
01-06-2021;5514;30.7
01-07-2021;5514;35.7
01-08-2021;5514;35.4
01-09-2021;5514;30.4
01-10-2021;5514;25.7
01-11-2021;5514;15.5
01-12-2021;5514;15.8
01-01-2021;3013;5.3
01-02-2021;3013;13.8
01-03-2021;3013;15.0
01-04-2021;3013;16.8
01-05-2021;3013;20.9
01-06-2021;3013;25.4
01-07-2021;3013;29.5
01-08-2021;3013;30.6
01-09-2021;3013;23.7
01-10-2021;3013;20.0
01-11-2021;3013;9.9
01-12-2021;3013;11.5
01-01-2021;4642E;15.5
01-02-2021;4642E;18.3
01-03-2021;4642E;21.5
01-04-2021;4642E;22.7
01-05-2021;4642E;27.6
01-06-2021;4642E;28.7
01-07-2021;4642E;33.1
01-08-2021;4642E;32.8
01-09-2021;4642E;29.8
01-10-2021;4642E;27.6
01-11-2021;4642E;20.1
01-12-2021;4642E;19.0
01-01-2021;9898;8.0
01-02-2021;9898;13.9
01-03-2021;9898;16.7
01-04-2021;9898;18.0
01-05-2021;9898;23.0
01-06-2021;9898;28.7
01-07-2021;9898;31.6
01-08-2021;9898;31.9
01-09-2021;9898;26.4
01-10-2021;9898;20.9
01-11-2021;9898;13.0
01-12-2021;9898;9.2
01-01-2021;5270B;12.2
01-02-2021;5270B;16.3
01-03-2021;5270B;18.6
01-04-2021;5270B;20.4
01-05-2021;5270B;0
01-06-2021;5270B;30.4
01-07-2021;5270B;35.1
01-08-2021;5270B;34.9
01-09-2021;5270B;29.3
01-10-2021;5270B;24.9
01-11-2021;5270B;14.5
01-12-2021;5270B;14.5
01-01-2021;9170;10.2
01-02-2021;9170;14.6
01-03-2021;9170;15.7
01-04-2021;9170;17.5
01-05-2021;9170;23.7
01-06-2021;9170;27.8
01-07-2021;9170;30.0
01-08-2021;9170;31.1
01-09-2021;9170;26.0
01-10-2021;9170;21.1
01-11-2021;9170;12.7
01-12-2021;9170;10.1
01-01-2021;C249I;20.9
01-02-2021;C249I;21.2
01-03-2021;C249I;0
01-04-2021;C249I;0
01-05-2021;C249I;24.6
01-06-2021;C249I;25.4
01-07-2021;C249I;27.5
01-08-2021;C249I;27.1
01-09-2021;C249I;27.2
01-10-2021;C249I;0
01-11-2021;C249I;22.8
01-12-2021;C249I;0
01-01-2021;C649I;0
01-02-2021;C649I;21.5
01-03-2021;C649I;0
01-04-2021;C649I;0
01-05-2021;C649I;0
01-06-2021;C649I;25.6
01-07-2021;C649I;27.3
01-08-2021;C649I;28.3
01-09-2021;C649I;27.4
01-10-2021;C649I;0
01-11-2021;C649I;23.0
01-12-2021;C649I;22.1
01-01-2021;C029O;21.4
01-02-2021;C029O;21.8
01-03-2021;C029O;0
01-04-2021;C029O;25.2
01-05-2021;C029O;26.1
01-06-2021;C029O;27.7
01-07-2021;C029O;29.4
01-08-2021;C029O;31.1
