FECHA;INDICATIVO;DIAS_LLU
01-12-2020;B228;12
01-01-2020;0200E;11
01-02-2020;0200E;9
01-03-2020;0200E;13
01-04-2020;0200E;10
01-05-2020;0200E;8
01-06-2020;0200E;13
01-07-2020;0200E;14
01-08-2020;0200E;7
01-09-2020;0200E;12
01-10-2020;0200E;8
01-11-2020;0200E;9
01-12-2020;0200E;10
01-01-2020;0076;7
01-02-2020;0076;1
01-03-2020;0076;9
01-04-2020;0076;8
01-05-2020;0076;7
01-06-2020;0076;11
01-07-2020;0076;6
01-08-2020;0076;7
01-09-2020;0076;9
01-10-2020;0076;8
01-11-2020;0076;7
01-12-2020;0076;6
01-01-2020;1082;17
01-02-2020;1082;16
01-03-2020;1082;18
01-04-2020;1082;17
01-05-2020;1082;13
01-06-2020;1082;17
01-07-2020;1082;13
01-08-2020;1082;14
01-09-2020;1082;13
01-10-2020;1082;24
01-11-2020;1082;12
01-12-2020;1082;27
01-01-2020;2331;15
01-02-2020;2331;8
01-03-2020;2331;8
01-04-2020;2331;25
01-05-2020;2331;5
01-06-2020;2331;10
01-07-2020;2331;6
01-08-2020;2331;6
01-09-2020;2331;9
01-10-2020;2331;19
01-11-2020;2331;10
01-12-2020;2331;17
01-01-2020;3469A;14
01-02-2020;3469A;7
01-03-2020;3469A;11
01-04-2020;3469A;19
01-05-2020;3469A;9
01-06-2020;3469A;3
01-07-2020;3469A;1
01-08-2020;3469A;1
01-09-2020;3469A;6
01-10-2020;3469A;11
01-11-2020;3469A;15
01-12-2020;3469A;20
01-01-2020;5973;8
01-02-2020;5973;3
01-03-2020;5973;0
01-04-2020;5973;11
01-05-2020;5973;8
01-06-2020;5973;2
01-07-2020;5973;0
01-08-2020;5973;2
01-09-2020;5973;3
01-10-2020;5973;5
01-11-2020;5973;11
01-12-2020;5973;13
01-01-2020;5960;9
01-02-2020;5960;4
01-03-2020;5960;11
01-04-2020;5960;0
01-05-2020;5960;12
01-06-2020;5960;3
01-07-2020;5960;2
01-08-2020;5960;1
01-09-2020;5960;4
01-10-2020;5960;6
01-11-2020;5960;17
01-12-2020;5960;15
01-01-2020;5910;8
01-02-2020;5910;2
01-03-2020;5910;9
01-04-2020;5910;14
01-05-2020;5910;7
01-06-2020;5910;3
01-07-2020;5910;2
01-08-2020;5910;2
01-09-2020;5910;4
01-10-2020;5910;5
01-11-2020;5910;13
01-12-2020;5910;11
01-01-2020;1111;18
01-02-2020;1111;14
01-03-2020;1111;14
01-04-2020;1111;18
01-05-2020;1111;13
01-06-2020;1111;19
01-07-2020;1111;10
01-08-2020;1111;17
01-09-2020;1111;15
01-10-2020;1111;22
01-11-2020;1111;11
01-12-2020;1111;22
01-01-2020;1109;19
01-02-2020;1109;10
01-03-2020;1109;14
01-04-2020;1109;15
01-05-2020;1109;13
01-06-2020;1109;20
01-07-2020;1109;11
01-08-2020;1109;13
01-09-2020;1109;12
01-10-2020;1109;19
01-11-2020;1109;10
01-12-2020;1109;26
01-01-2020;8500A;7
01-02-2020;8500A;3
01-03-2020;8500A;12
01-04-2020;8500A;17
01-05-2020;8500A;7
01-06-2020;8500A;4
01-07-2020;8500A;6
01-08-2020;8500A;5
01-09-2020;8500A;8
01-10-2020;8500A;6
01-11-2020;8500A;10
01-12-2020;8500A;6
01-01-2020;5000C;0
01-02-2020;5000C;1
01-03-2020;5000C;0
01-04-2020;5000C;0
01-05-2020;5000C;7
01-06-2020;5000C;0
01-07-2020;5000C;0
01-08-2020;5000C;1
01-09-2020;5000C;2
01-10-2020;5000C;0
01-11-2020;5000C;13
01-12-2020;5000C;0
01-01-2020;4121;9
01-02-2020;4121;5
01-03-2020;4121;11
01-04-2020;4121;21
01-05-2020;4121;9
01-06-2020;4121;2
01-07-2020;4121;3
01-08-2020;4121;1
01-09-2020;4121;2
01-10-2020;4121;7
01-11-2020;4121;13
01-12-2020;4121;17
01-01-2020;5402;7
01-02-2020;5402;2
01-03-2020;5402;12
01-04-2020;5402;18
01-05-2020;5402;0
01-06-2020;5402;0
01-07-2020;5402;1
01-08-2020;5402;4
01-09-2020;5402;3
01-10-2020;5402;6
01-11-2020;5402;12
01-12-2020;5402;13
01-01-2020;8096;8
01-02-2020;8096;3
01-03-2020;8096;12
01-04-2020;8096;17
01-05-2020;8096;11
01-06-2020;8096;4
01-07-2020;8096;4
01-08-2020;8096;1
01-09-2020;8096;6
01-10-2020;8096;7
01-11-2020;8096;10
01-12-2020;8096;11
01-01-2020;1014;13
01-02-2020;1014;14
01-03-2020;1014;13
01-04-2020;1014;18
01-05-2020;1014;11
01-06-2020;1014;18
01-07-2020;1014;14
01-08-2020;1014;16
01-09-2020;1014;10
01-10-2020;1014;22
01-11-2020;1014;10
01-12-2020;1014;20
01-01-2020;1024E;15
01-02-2020;1024E;13
01-03-2020;1024E;15
01-04-2020;1024E;20
01-05-2020;1024E;11
01-06-2020;1024E;20
01-07-2020;1024E;14
01-08-2020;1024E;18
01-09-2020;1024E;14
01-10-2020;1024E;22
01-11-2020;1024E;10
01-12-2020;1024E;23
01-01-2020;0367;7
01-02-2020;0367;5
01-03-2020;0367;14
01-04-2020;0367;15
